split,signature,rank,model,median_abs_error
spatial_test,q_mean,1,xgboost,0.20590441897950768
spatial_test,q_mean,2,random_forest,0.25511806864817776
spatial_test,q_mean,3,xlstm,0.27567986513635323
spatial_test,runoff_ratio,1,random_forest,0.07288397191474161
spatial_test,runoff_ratio,2,xgboost,0.07383384505992605
spatial_test,runoff_ratio,3,xlstm,0.08905105530022539
spatial_test,fdc_slope,1,xlstm,0.3233200082317772
spatial_test,fdc_slope,2,random_forest,0.46258270428646453
spatial_test,fdc_slope,3,xgboost,0.5153766727888213
spatial_test,baseflow_index,1,xlstm,0.07853973251936225
spatial_test,baseflow_index,2,random_forest,0.08250253971922375
spatial_test,baseflow_index,3,xgboost,0.0935585725399453
spatial_test,hfd_mean,1,random_forest,5.5
spatial_test,hfd_mean,2,xgboost,6.875
spatial_test,hfd_mean,3,xlstm,7.0
spatial_test,q05,1,xlstm,0.15625527222874305
spatial_test,q05,2,xgboost,0.20646102915524528
spatial_test,q05,3,random_forest,0.21470739165657984
spatial_test,q95,1,random_forest,0.6287483465432517
spatial_test,q95,2,xlstm,0.6829992933178269
spatial_test,q95,3,xgboost,0.688669641743888
spatial_test,high_q_freq,1,random_forest,0.0
spatial_test,high_q_freq,2,xgboost,0.0
spatial_test,high_q_freq,3,xlstm,0.0
spatial_test,high_q_dur,1,random_forest,0.720779220779221
spatial_test,high_q_dur,2,xlstm,0.7254947794919744
spatial_test,high_q_dur,3,xgboost,0.841488903253609
spatial_test,low_q_freq,1,random_forest,0.0
spatial_test,low_q_freq,2,xgboost,0.0
spatial_test,low_q_freq,3,xlstm,0.0
spatial_test,low_q_dur,1,xgboost,1.8924242424242426
spatial_test,low_q_dur,2,xlstm,1.9833333333333334
spatial_test,low_q_dur,3,random_forest,2.1344696969696972
spatial_test,zero_q_freq,1,random_forest,0.0
spatial_test,zero_q_freq,2,xgboost,0.0
spatial_test,zero_q_freq,3,xlstm,0.0
test,q_mean,1,xlstm,0.0948011598335881
test,q_mean,2,random_forest,0.09730384583269319
test,q_mean,3,xgboost,0.12805431993684
test,runoff_ratio,1,xlstm,0.0284611502118536
test,runoff_ratio,2,random_forest,0.03061752066203955
test,runoff_ratio,3,xgboost,0.043392305417687904
test,fdc_slope,1,xlstm,0.202418583416448
test,fdc_slope,2,random_forest,0.2778975508526307
test,fdc_slope,3,xgboost,0.35568672317827754
test,baseflow_index,1,xlstm,0.04337068723000349
test,baseflow_index,2,random_forest,0.07016563654950415
test,baseflow_index,3,xgboost,0.0931592892199435
test,hfd_mean,1,random_forest,6.5
test,hfd_mean,2,xgboost,8.0
test,hfd_mean,3,xlstm,
test,q05,1,xlstm,0.054635769436489304
test,q05,2,random_forest,0.11928775678462825
test,q05,3,xgboost,0.1750772151680322
test,q95,1,random_forest,0.3024328408260062
test,q95,2,xlstm,0.33282554156856325
test,q95,3,xgboost,0.5859851991780044
test,high_q_freq,1,random_forest,0.0
test,high_q_freq,2,xgboost,0.0
test,high_q_freq,3,xlstm,0.0
test,high_q_dur,1,xlstm,0.40630060728744943
test,high_q_dur,2,xgboost,0.8256769374416435
test,high_q_dur,3,random_forest,0.8281137992831545
test,low_q_freq,1,random_forest,0.0
test,low_q_freq,2,xlstm,0.0
test,low_q_freq,3,xgboost,0.0003422313483915
test,low_q_dur,1,xlstm,1.0056818181818183
test,low_q_dur,2,xgboost,1.8716666666666666
test,low_q_dur,3,random_forest,2.137445887445888
test,zero_q_freq,1,random_forest,0.0
test,zero_q_freq,2,xgboost,0.0
test,zero_q_freq,3,xlstm,0.0
train,q_mean,1,xlstm,0.047478255468468
train,runoff_ratio,1,xlstm,0.01455538884366515
train,fdc_slope,1,xlstm,0.1416124257578591
train,baseflow_index,1,xlstm,0.03263253986098945
train,hfd_mean,1,xlstm,
train,q05,1,xlstm,0.039505689952339204
train,q95,1,xlstm,0.2746712114167848
train,high_q_freq,1,xlstm,0.0
train,high_q_dur,1,xlstm,0.2440311986863711
train,low_q_freq,1,xlstm,0.0
train,low_q_dur,1,xlstm,0.793666859456333
train,zero_q_freq,1,xlstm,0.0
val,q_mean,1,xlstm,0.08763671568910239
val,q_mean,2,random_forest,0.0968916885575723
val,q_mean,3,xgboost,0.1372673599565219
val,runoff_ratio,1,xlstm,0.026573371088804698
val,runoff_ratio,2,random_forest,0.031228346259673252
val,runoff_ratio,3,xgboost,0.04419293795990695
val,fdc_slope,1,xlstm,0.21260644096283404
val,fdc_slope,2,random_forest,0.23187618156412548
val,fdc_slope,3,xgboost,0.36674623283307195
val,baseflow_index,1,xlstm,0.04397423220678695
val,baseflow_index,2,random_forest,0.0801635664205431
val,baseflow_index,3,xgboost,0.1042398004297024
val,hfd_mean,1,random_forest,5.25
val,hfd_mean,2,xgboost,7.375
val,hfd_mean,3,xlstm,8.0
val,q05,1,xlstm,0.04339833577901955
val,q05,2,random_forest,0.09276935190486629
val,q05,3,xgboost,0.13363827850956245
val,q95,1,xlstm,0.2964268963258902
val,q95,2,random_forest,0.42826259271826667
val,q95,3,xgboost,0.7653328788318645
val,high_q_freq,1,random_forest,0.0
val,high_q_freq,2,xgboost,0.0
val,high_q_freq,3,xlstm,0.0
val,high_q_dur,1,xlstm,0.5140151515151515
val,high_q_dur,2,random_forest,0.9656723225688741
val,high_q_dur,3,xgboost,1.1283809966674416
val,low_q_freq,1,random_forest,0.0
val,low_q_freq,2,xgboost,0.0
val,low_q_freq,3,xlstm,0.0
val,low_q_dur,1,xlstm,1.221813725490196
val,low_q_dur,2,xgboost,1.7606060606060607
val,low_q_dur,3,random_forest,1.8598243861401755
val,zero_q_freq,1,random_forest,0.0
val,zero_q_freq,2,xgboost,0.0
val,zero_q_freq,3,xlstm,0.0
